Order Id,Name,Market Segment,State,Region
10000,Gilberto Matrejek,Home Office,Mississippi,E S Cen
10001,Caleb Weinbauer,Corporate,Connecticut,N Eng
10002,Ardith Carnero,Consumer,Florida,S Atl
10003,Bert Lasenby,Home Office,Colorado,Mtn
10004,Sebrina Felten,Consumer,Iowa,W N Cen
10005,Frank Idleburg,Consumer,Wyoming,Mtn
10006,Manuel Kretzer,Small Business,New Mexico,Mtn
10007,Ricardo Cussen,Home Office,Arkansas,W S Cen
10008,Derek Simas,Small Business,Wyoming,Mtn
10009,Frederic Zemel,Home Office,Kentucky,E S Cen
10010,Leonel Kuklinski,Home Office,New Hampshire,N Eng
10011,Aleisha Corry,Home Office,West Virginia,S Atl
10012,Leonel Galley,Small Business,Arizona,Mtn
10013,Javier Secunda,Corporate,Washington,Pacific
10014,Gerard Vertiz,Small Business,Arkansas,W S Cen
10015,Clement Vance,Small Business,Kansas,W N Cen
10016,Hans Jimerson,Home Office,Alabama,E S Cen
10017,Gerard Vertiz,Consumer,Arkansas,W S Cen
10018,Winfred Gelinas,Consumer,Texas,W S Cen
10019,Cody Harsh,Consumer,North Carolina,S Atl
10020,Johnson Morrison,Corporate,California,Pacific
10021,Cyrus Jarecki,Corporate,Arkansas,W S Cen
10022,Micheal Pugel,Consumer,New York,Mid Atl
10023,Odis Sisneros,Corporate,New Hampshire,N Eng
10024,Adela Hassick,Home Office,Texas,W S Cen
10025,Frederic Debari,Corporate,North Carolina,S Atl
10026,Joni Demry,Corporate,California,Pacific
10027,Bao Blattler,Corporate,Texas,W S Cen
10028,Donnetta Mchughes,Home Office,Alabama,E S Cen
10029,Valentin Gutowski,Corporate,Colorado,Mtn
10030,Shane Magers,Small Business,Florida,S Atl
10031,Lewis Nevius,Consumer,North Dakota,W N Cen
10032,Arnold Swietoniowski,Small Business,Arizona,Mtn
10033,Isreal Hashimoto,Home Office,Texas,W S Cen
10034,Andy Monet,Small Business,Delaware,S Atl
10035,Max Kroemer,Corporate,New Jersey,Mid Atl
10036,Tuan Mouzon,Home Office,Massachusetts,N Eng
10037,Sebrina Felten,Consumer,Iowa,W N Cen
10038,Lucas Pfau,Corporate,Arizona,Mtn
10039,Donnette Westlund,Home Office,Maryland,S Atl
10040,Sherika Banome,Home Office,Montana,Mtn
10041,Werner Agib,Home Office,Colorado,Mtn
10042,Bert Lasenby,Consumer,Colorado,Mtn
10043,Forest Baldwin,Corporate,Maine,N Eng
10044,Joaquin Mongelli,Home Office,Ohio,E N Cen
10045,Clarence Nonnemacher,Corporate,Vermont,N Eng
10046,Clement Vance,Corporate,Kansas,W N Cen
10047,Adam Illes,Home Office,Texas,W S Cen
10048,Laurinda Tafoya,Consumer,Wisconsin,E N Cen
10049,Len Haviland,Home Office,New Mexico,Mtn
10050,Angelo Hixson,Corporate,Washington,Pacific
10051,Fernando Longenecker,Consumer,New York,Mid Atl
10052,Donnette Westlund,Corporate,Maryland,S Atl
10053,Hisako Kautzer,Home Office,Iowa,W N Cen
10054,Frank Idleburg,Consumer,Wyoming,Mtn
10055,Royal Helmkamp,Corporate,Missouri,W N Cen
10056,Jesse Delos,Home Office,Alabama,E S Cen
10057,Abdul Nathoo,Corporate,Iowa,W N Cen
10058,Rod Damelio,Consumer,Oregon,Pacific
10059,Stevie Burpo,Consumer,Massachusetts,N Eng
10060,Dreama Siegrist,Consumer,Vermont,N Eng
10061,Ciera Hesley,Corporate,Maryland,S Atl
10062,Page Fennewald,Corporate,Tennessee,E S Cen
10063,Raleigh Straney,Corporate,Minnesota,W N Cen
10064,Luigi Jerden,Small Business,Florida,S Atl
10065,Jimmy Vares,Home Office,Oregon,Pacific
10066,Mel Shadowens,Small Business,Maryland,S Atl
10067,Rickey Salina,Home Office,Maryland,S Atl
10068,Mohammad Kennell,Small Business,Montana,Mtn
10069,Clifton Mcclenahan,Home Office,Montana,Mtn
10070,Stanley Abron,Corporate,Maine,N Eng
10071,Alvaro Aines,Home Office,Maine,N Eng
10072,Odis Sisneros,Small Business,New Hampshire,N Eng
10073,Kevin Hammon,Home Office,Connecticut,N Eng
10074,Meagan Seabrooks,Home Office,Maryland,S Atl
10075,Leon Kobza,Small Business,New Jersey,Mid Atl
10076,Ligia Decambra,Corporate,Wisconsin,E N Cen
10077,Jesse Wenrick,Home Office,Pennsylvania,Mid Atl
10078,Joseph Maver,Corporate,Iowa,W N Cen
10079,Gerardo Cuccaro,Home Office,Mississippi,E S Cen
10080,Lise Diniz,Home Office,Illinois,E N Cen
10081,Garrett Cummiskey,Corporate,Kentucky,E S Cen
10082,Hans Jimerson,Home Office,Alabama,E S Cen
10083,Douglas Witman,Small Business,Wisconsin,E N Cen
10084,Bibi Hase,Small Business,California,Pacific
10085,Augustine Keisker,Home Office,New Mexico,Mtn
10086,Stepanie Wical,Corporate,Arkansas,W S Cen
10087,Loyd Janisch,Small Business,Alabama,E S Cen
10088,Miquel Faulkenberry,Home Office,California,Pacific
10089,Randall Rombough,Corporate,Washington,Pacific
10090,Leonel Galley,Corporate,Arizona,Mtn
10091,Aldo Loegering,Corporate,Mississippi,E S Cen
10092,Marion Crespin,Corporate,Indiana,E N Cen
10093,Francisco Kha,Home Office,Mississippi,E S Cen
10094,Meaghan Kiraly,Corporate,Indiana,E N Cen
10095,Emory Foulds,Corporate,Delaware,S Atl
10096,Winfred Gundrum,Home Office,Connecticut,N Eng
10097,Alexander Basil,Home Office,Virginia,S Atl
10098,Albert Ranum,Corporate,Louisiana,W S Cen
10099,Saul Viltz,Small Business,Oregon,Pacific
10100,Dong Brincat,Home Office,Idaho,Mtn
10101,Arnold Swietoniowski,Corporate,Arizona,Mtn
10102,Bea Rushmore,Small Business,North Dakota,W N Cen
10103,Hung Delvecchio,Home Office,California,Pacific
10104,Katie Waugh,Home Office,Ohio,E N Cen
